dt,s1,s2,s1_norm,s2_norm,s1_ma10,s1_ma30,s1_ma60,s2_ma10,s2_ma30,s2_ma60
2015-05-23,97,22.178781086254954,0.18634037342062135,0.2240613532572316,0.39458054330510955,0.4041857171927704,0.40914839036806183,0.46252637200320834,0.4416765029012329,0.42935190340424323
2015-05-24,227,45.98476502531728,0.4360748944998046,0.46456153928016464,0.3897779563612791,0.4112935458696395,0.40655499341839346,0.457554247338265,0.4482356431189419,0.428002707655657
2015-05-25,346,66.58340628140097,0.6646780330261338,0.6726595144190539,0.4255092032233776,0.4255092032233776,0.41193389079548354,0.4802584188303155,0.46156714077832883,0.43305268432735655
2015-05-26,264,57.825210629803635,0.5071531812684952,0.5841797570258643,0.4483695170760106,0.4338977217519348,0.4123821322435744,0.5119733375030652,0.46892465081333273,0.43376908213577836
2015-05-27,217,39.503501846905976,0.4168645467244828,0.39908451450935395,0.42089871975730037,0.42922320379327317,0.417056650202236,0.4842248166877431,0.46369588081879604,0.43681319551968334
2015-05-28,198,42.17715563540377,0.3803648859513714,0.4260951281072041,0.4001515441599529,0.42141099569797563,0.41276633919908085,0.4613908502890207,0.456304874767424,0.4353484982306204
2015-05-29,161,36.34087621793297,0.3092865991826808,0.36713405810159155,0.38267012768441006,0.4181452365761709,0.4113895976085161,0.44489451928425583,0.4566433559405999,0.4345627556475493
2015-05-30,94,20.694866362424715,0.1805772690880248,0.20907009021862438,0.373833367707762,0.4074514763145751,0.40665104515727,0.42424144221656607,0.4454186988726517,0.43005955689788006
2015-05-31,240,39.201120660975405,0.4610483466077229,0.3960297056154099,0.38190171377339716,0.41359878760267815,0.4069392003738999,0.4216665838421201,0.44808483869674887,0.4280656899324845
2015-06-01,256,45.220840093701774,0.4917849030482378,0.4568439801726992,0.4034173032817575,0.41846540903909296,0.40383352748355617,0.41997196407071974,0.4502335365763775,0.4229083711096485
2015-06-02,293,52.209315424837726,0.5628631898169284,0.5274451206866617,0.44106958492138826,0.4280705829267539,0.40575456226108836,0.4503103408136628,0.4578408058001689,0.42390522275052006
2015-06-03,206,39.95462933897408,0.39573316417162885,0.40364203441864077,0.43703541188857076,0.4207066162795472,0.40873216616626323,0.4442183903275104,0.45495084466352204,0.42684066984898
